num_thread,execution_time,speedup
1,5.80119,1.7560362615256524
2,2.79394,3.6461412915094806
3,2.13688,4.767277526112837
4,1.83026,5.565930523532176
5,1.60374,6.352089490815219
6,1.55192,6.564191453167688
7,1.46295,6.963395878191325
8,1.4132,7.208533823945655
9,1.57862,6.453167956823048
10,2.16545,4.704380151931469
11,5.93944,1.7151616987460094
12,7.50026,1.358232914592294
13,7.80193,1.3057153806814468
14,7.17444,1.4199157007376184
15,4.61809,2.2059119679347954
16,5.80404,1.7551739822606323
17,5.28483,1.9276116734123896
18,6.47901,1.572323549431163
19,5.62517,1.8109852680007892
20,5.76424,1.7672928261141103
21,5.58653,1.8235111956796077
22,6.0441,1.6854618553630811
23,6.4172,1.5874680546032536
24,6.60108,1.5432474685960478
25,7.65997,1.3299138247277729
26,7.73907,1.3163209532928375
27,9.22444,1.1043597226498303
28,9.31752,1.0933274090101228
29,10.3298,0.9861855989467365
30,10.8734,0.9368826677948019
31,11.1173,0.9163286049670333
32,7.73451,1.317097010670359
